id_request,bs,change_of_load,service_time,distance
0,999999,0.0,0.0,0
310004,3333333,19.0,3.394112551053695,2.8284271247461903
200001,111111,21.0,55.0,3.2015621187164243
100001,59,19.0,61.618823418756186,5.099019513592785
100006,55,21.0,116.0147186223642,4.0
200006,111111,19.0,125.0,7.071067811865475
200005,111111,21.0,139.07857959686777,0.0
100005,237,19.0,146.8778946361419,6.082762530298219
100010,122,20.0,157.2006849607224,8.602325267042627
200010,111111,19.0,165.0,6.082762530298219
200009,111111,21.0,165.0,0.0
100009,64,19.0,173.1837490879929,6.4031242374328485
100014,52,21.0,187.58374909375223,12.0
100013,121,22.0,193.03147584647584,4.123105625617661
200013,111111,21.0,202.01675722411187,7.071067811865475
200014,111111,19.0,202.01675722411227,0.0
200011,111111,23.0,205.0,0.0
100011,88,19.0,213.5498447222206,6.708203932499369
100015,254,20.0,266.0147186223642,11.180339887498949
200015,111111,19.0,275.0,7.071067811865475
200020,111111,20.0,645.0,0.0
100020,115,19.0,650.8665631481462,4.47213595499958
200021,111111,20.0,675.0,4.47213595499958
100021,167,19.0,679.8266615322874,3.6055512754639896
100023,169,15.0,798.183281574073,2.0
200023,111111,19.0,800.8665631481471,2.23606797749979
200024,111111,20.0,812.2082039351837,0.0
100024,200,19.0,819.4964290372924,5.656854249492381
200026,111111,20.0,826.284654139398,5.656854249492381
100026,33,19.0,839.667619030796,9.899494936611665
200028,111111,22.0,861.501428861695,9.899494936611665
100028,89,19.0,869.4942845532239,5.830951894845301
200030,111111,21.0,1005.0,5.830951894845301
100030,143,19.0,1010.30000000192,4.0
999999,999999,0.0,21065.0,4.031128874149275
